Name,AC,Alignment,CR,Current HP,Damage,Environment,Hit Points,Initiative,Initiative Roll,Legendary,Page Number,Size,Source,Speed (ft),Type
Pech,15,,2,33,,,33,0,10,,294,,Creature Codex,,Elemental
"Minotaur, Ravening",14,,3,85,,,85,0,10,,272,,Tome of Beasts 3,,Monstrosity
Reef Shark,12,,0.5,22,,,22,1,11,,336,,5e SRD,,Beast
Xenabsorber,15,,3,65,,,65,1,11,,387,,Creature Codex,,Aberration
Cambion,16,,5,93,,,93,4,14,,42,,A5e Monstrous Menagerie,,Fiend
Pact Lich,17,,15,195,,,195,3,13,Legendary,152,,Creature Codex,,Undead
Brimstone Locusthound,15,,3,60,,,60,2,12,,51,,Tome of Beasts 2,,Monstrosity
"Musk Deer, Swarm",13,,2,44,,,44,3,13,,282,,Tome of Beasts 3,,Beast
Lazavik,14,,3,36,,,36,4,14,,236,,Tome of Beasts 2,,Fey
Labyrinth Keeper,15,,5,119,,,119,0,10,,267,,Creature Codex,,Monstrosity
Master Thief,18,,17,143,,,143,5,15,,469,,A5e Monstrous Menagerie,,Humanoid
Rock Roach,16,,2,67,,,67,2,12,,308,,Tome of Beasts 2,,Beast
Obsidian Ophidian,16,,5,136,,,136,2,12,,295,,Tome of Beasts 3,,Elemental
Great Wyrm White Dragon,20,,22,740,,,740,1,11,Legendary,121,,A5e Monstrous Menagerie,,Dragon
Deathwisp,15,,7,82,,,82,5,15,,72,,Tome of Beasts,,Undead
Centaur Chieftain,16,,5,110,,,110,1,11,,60,,Creature Codex,,Monstrosity
Wood Golem,14,,3,52,,,52,0,10,,201,,Creature Codex,,Construct
Skeleton,13,,0.25,13,,,13,2,12,,272,,5e SRD,,Undead
Zalikum,16,,7,103,,,103,3,13,,382,,Tome of Beasts 2,,Construct
Servant of the Vine,16,,6,72,,,72,2,12,,144,,Creature Codex,,Humanoid
Dragon Cultist,12,,2,39,,,39,2,12,,473,,A5e Monstrous Menagerie,,Humanoid
Warhordling Orc War Chief,16,,5,90,,,90,4,14,,497,,A5e Monstrous Menagerie,,Humanoid
Silver Dragon Wyrmling,17,,2,45,,,45,0,10,,118,,5e SRD,,Dragon
Banshee,13,,4,58,,,58,3,13,,30,,A5e Monstrous Menagerie,,Undead
Spire Walker,16,,3,38,,,38,4,14,,367,,Tome of Beasts,,Fey
Ratfolk Warlock,13,,1,27,,,27,3,13,,314,,Creature Codex,,Humanoid
Devil Shark,16,,13,198,,,198,2,12,,98,,Creature Codex,,Monstrosity
Swarm of Khalkos Spawn,16,,2,71,,,71,3,13,,295,,A5e Monstrous Menagerie,,Aberration
Flesh Golem,9,,5,93,,,93,-1,9,,169,,5e SRD,,Construct
Giant Owl,12,,0.25,19,,,19,2,12,,327,,5e SRD,,Beast
Merfolk Knight,15,,3,52,,,52,1,11,,329,,A5e Monstrous Menagerie,,Humanoid
Undead Phoenix,17,,12,142,,,142,2,12,,361,,Creature Codex,,Undead
Marid Noble,17,,11,344,,,344,3,13,,224,,A5e Monstrous Menagerie,,Elemental
Degenerate Titan,12,,8,161,,,161,-2,8,,381,,Tome of Beasts,,Giant
Giant Goat,11,,0.5,19,,,19,0,10,,326,,5e SRD,,Beast
Zilaq,15,,4,82,,,82,2,12,,399,,Tome of Beasts 3,,Dragon
Tigebra,18,,13,190,,,190,1,11,,369,,Tome of Beasts 3,,Monstrosity
